caseid,weight,sample,lang,cregion,form,q1,q2,q3,q4a,q4b,q4c,q4d,q4e,q4f,q4g,q4h,q5,q6a,q6b,q6c,q6d,q6ef13,q6ff13,q6gf13,q6hf24,q6if24,q6jf24,q7a,q7b,q7c,q7e,q8,q9,q10,q14,q18a,q18bf13,q18cf24,q18d,q18ef13,q18ff24,q18g,q18h,q21a,q21b,q21c,q21e,q22c,q22d,q25,q26,q27,q28,q29a,q29b,q29c,q29d,q30,q31,q32,q33,q34,q35,q36,q37,q38,q39,q42,q43,q45,q46,q47b,q47c,q47d,q47e,q47f,q47h,q54,q55,q56,q57,q58a,q58b,q58c,q58d,relig,chr,born,attend,rq5,rq6,rq7,rq9a,rq9bf13,rq9cf24,rq9df13,rq9ef24,rq10,sex,agerec,educ2,racethn,birth_hisp,usborn,marital,income,party,partyln,ideo,employ,hlthwork,hh1rec,hh3rec,fertrec,ql1,ql1a,qc1,lc2,lc3
215396,.3,2,1,2,3,1,3,3,3,3,2,7,2,7,7,2,1,1,1,3,1,1,3,1, , , ,3,3,3,3,2,1,4,85,1,1, ,2,1, ,2,2,3,3,2,3,1,2, , , , , , , , , , , , , , , , , , ,2,2,2,9,1,1,1,2,2,1,1,1, , ,1,3,3,1,9, , ,6,4,7,2,2,2, ,2, ,2,1,25,6,1, ,2,6,5,2, ,5,1,2,3,3,0, , ,1, ,3
215443,.98,2,1,4,3,1,1,1,1,1,1,1,1,1,1,4,1,1,1,3,3,3,3,1, , , ,3,1,1,2,3,3,4,140,2,2, ,1,2, ,2,1,3,2,2,3,2,2, , , , , , , , , , , , , , , , , , ,1,2,2,1,2,1,2,1,1,2,1,1, , ,2,3,3,3,9, , ,6,4,7,2,2,2, ,2, ,2,1,50,8,1, ,1,1,9,3,2,3,1,2,2,2,1, , ,1, ,1
215452,.97,2,1,4,3,1,1,1,2,1,2,1,2,7,2,3,1,3,3,2,3,2,2,2, , , ,1,1,1,9,1,3,2,120,2,3, ,3,2, ,2,2,1,1,1,1,1,1, , , , , , , , , , , , , , , , , , ,1,1,1,1,2,1,1,2,1,1,1,1, , ,3,2,3,1,12,2, ,6,4,7,2,2,2, ,2, ,4,1,30,8,3,3, ,6,10,4,2,5,1,2,1, ,0, , ,2, , 
215484,.56,2,1,4,2,1,3,1,2,2,2,2,2,2,2, ,2,2,1,2,1, , , ,1,2,1,2,3,2,3,1,2,3,80,9, ,9,2, ,3,9,9,9,3,9,2,9,1,2,2,2,2,1,1,2,1,1,1,2,9,2,2,2,2, , , , , , , , , , , , , , ,1,9,2,9,2,9,13, ,2,2,9,5,1,2, ,1, ,2,3,2,32,3,3,1, ,1,6,3,9,3,2,2,5,2,4, , ,2, , 
215488,.31,2,1,2,4,1,3,1,2,7,1,1,1,1,1,3,2,1,1,2,2, , , ,2,1,1,1,1,2,3,1,2,2,100,1, ,1,2, ,1,1,2,1,2,3,1,2,1, , , , , , , , , , , , , , , , , , ,2,1,1,1,2,1,1,1,1,1, , ,1,1,1,1,1,1,1, ,2,2,1,2,1,1, ,2, ,2,4,2,62,8,1, ,1,1,9,2, ,4,2,2,2,2,2, , ,1, ,2
215491,4.78,2,1,4,3,1,1,1,2,2,2,2,1,7,2,4,1,1,1,2,1,1,2,1, , , ,1,1,1,1,1,2,3,85,2,2, ,2,1, ,2,2,2,1,2,1,2,1, , , , , , , , , , , , , , , , , , ,2,1,1,2,1,1,2,1,2,1,1,2, , ,1,1,1,1,14, , ,3,1,3,1,1,1, ,1, ,2,1,21,4,3,1, ,2,7,2, ,3,2,2,1, ,0, , ,2, , 
215505,2.26,2,1,4,3,1,1,2,2,3,2,2,1,2,2,1,2,1,1,2,1,2,2,1, , , ,2,1,2,3,1,1,2,85,3,3, ,1,2, ,2,2,3,2,2,2,2,1, , , , , , , , , , , , , , , , , , ,3,2,1,1,2,1,2,1,2,2,1,1, , ,2,3,3,3,12,1,2,5,3,6,1,1,1, ,2, ,2,1,58,4,1, ,1,1,5,3,1,3,1,2,4,3,1, , ,1, ,1
215514,2.87,2,1,2,1,1,1,1,4,7,3,3,2,7,3, ,9,1,1,9,1,2,1,2, , , ,3,3,3,3,3,2,4,70,2,1, ,1,2, ,3,2,4,2,3,2,2,2,1,2,3,2,1,1,2,1,1,2,2,2,4,2,2,2, , , , , , , , , , , , ,1,1, , ,2,2,2,2,2, ,1,6,2,3,1,1,1, ,1, ,2,1,20,4,4, ,1,6,10,9,9,9,3, ,3,3,0, , ,2, , 
215530,.65,2,1,3,2,2,2,2,3,3,3,1,1,1,2, ,2,1,1,1,2, , , ,4,4,1,3,2,2,1,1,1,1,85,2, ,2,1, ,1,1,2,3,3,3,2,2,1,2,1,1,1,1,1,2,2,2,2,1,2,1,1,1,1,1,1, , , , , , , , , , , , ,1,9,2,3,3,3,2, ,2,4,1,1,1,1, ,1, ,1,1,1,62,8,1, ,1,3,8,1, ,3,1,1,1, ,3, , ,2, , 
215536,1.55,2,1,3,1,1,1,1,3,3,2,2,3,7,1, ,1,4,4,4,4,4,4,4, , , ,3,1,3,3,2,4,4,100,1,1, ,1,1, ,1,1,1,1,1,1,2,1,1,2,3,2,1,1,2,2,1,1,1,1,1,2,1,1,2,2, , , , , , , , , , ,2, , , ,1,3,3,3,12,2, ,4,2,1,1,1,1, ,2, ,3,2,25,3,2, ,1,6,1,3,2,1,3, ,1, ,0, , ,2, , 
215568,2.39,2,1,3,4,1,1,1,2,2,2,2,2,2,2,3,1,1,1,1,1, , , ,1,1,1,2,3,2,3,1,1,1,100,1, ,1,1, ,1,1,1,1,3,1,2,1,1, , , , , , , , , , , , , , , , , , ,3,1,1,1,1,1,1,2,2,1, , ,2, ,2,2,2,2,1, ,1,2,1,1,1,2, ,1, ,1,4,2,34,5,2, ,1,6,4,2, ,2,1,2,2,1,1, , ,2, , 
215619,.98,2,1,2,1,1,3,1,3,1,3,2,3,1,7, ,1,1,1,1,1,2,2,1, , , ,1,1,2,1,1,2,4,75,2,1, ,2,2, ,2,2,3,3,2,2,2,1,2,2,2,2,1,2,1,2,9,1,9,2,2,2,2,1,3,2, , , , , , , , , , ,1,1, , ,4,3,3,1,2, ,2,5,2,5,1,1,1, ,9, ,3,2,67,5,3,2, ,5,5,2, ,4,1,2,2,2,5, , ,1, ,1
215628,1.5,2,1,3,1,1,3,1,2,2,3,3,2,2,2, ,2,3,9,3,3,1,3,1, , , ,1,1,3,1,1,1,1,85,2,2, ,2,2, ,2,1,3,3,1,2,2,1,1,1,1,2,2,2,2,2,2,1,1,1,4,1,2,2, , , , , , , , , , , , ,1,1, , ,1,3,3,3,1, ,2,5,2,1,1,1,2, ,1, ,4,2,56,4,1, ,1,1,6,2, ,5,2,2,4,4,3, , ,2, , 
215649,.98,2,1,1,4,1,1,1,3,4,2,3,2,2,4,1,1,1,1,1,2, , , ,3,9,1,1,3,2,2,2,1,1,85,1, ,1,4, ,1,2,9,2,1,4,2,2,1, , , , , , , , , , , , , , , , , , ,2,2,1,1,2,2,1,1,1,1, , ,1,2,2,3,3,3,2, ,2,5,2,3,1,1, ,1, ,1,3,1,38,6,3,2, ,3,1,2, ,9,9, ,3,2,3, , ,2, , 
215659,.55,2,1,2,4,1,1,1,3,1,1,2,2,7,7,4,2,2,1,1,1, , , ,2,2,2,2,1,2,1,1,1,4,90,2, ,3,3, ,3,1,3,3,3,3,3,1,1, , , , , , , , , , , , , , , , , , ,3,2,2,1,2,2,1,2,1,1, , ,2, ,2,2,1,9,1, ,1,1,1,3,1,1, ,1, ,1,2,1,26,8,4, ,1,6,3,1, ,2,1,2,1, ,0, , ,2, , 
215661,.31,2,1,3,2,2,1,2,3,4,4,3,3,3,4, ,2,1,1,9,1, , , ,4,2,3,2,1,2,3,2,2,2,80,2, ,1,1, ,2,1,2,1,1,1,1,1,1,1,1,1,2,2,2,2,2,1,1,2,2,4,2,2,1,1,2, , , , , , , , , , , , ,1,2,2,2,3,2,12,1,1,4,2,1,1,1, ,1, ,1,4,1,40,2,3,3, ,1,5,1, ,4,3, ,1, ,1, , ,1,1, 
215677,.41,2,1,3,1,1,1,1,2,2,1,2,1,7,1, ,1,1,1,2,1,3,2,1, , , ,1,1,3,3,1,3,3,150,2,3, ,1,2, ,1,1,2,2,1,3,1,1,2,1,3,2,1,1,2,1,1,1,1,1,2,2,1,2, , , , , , , , , , , , ,1,1, , ,1,2,1,3,12,1,2,4,3,6,1,1,1, ,1, ,2,1,30,6,1, ,1,6,7,4,2,4,1,2,2,2,0, , ,2, , 
215682,.63,2,1,3,3,1,1,1,3,2,3,3,1,2,4,4,2,1,1,4,1,3,1,2, , , ,3,1,1,1,1,1,4,40,1,1, ,1,1, ,1,2,4,2,3,4,2,2, , , , , , , , , , , , , , , , , , ,2,2,2,1,2,2,1,1,1,2,1,2, , ,3,3,3,3,12,2, ,6,4,6,1,1,2, ,2, ,9,2,26,8,2, ,1,6,5,2, ,4,1,2,1, ,0, , ,2, , 
215684,2,2,1,1,3,1,1,3,2,2,2,3,1,1,2,2,2,2,1,2,2,3,2,1, , , ,3,3,3,3,2,2,2,85,1,1, ,1,1, ,1,1,4,2,2,4,2,1, , , , , , , , , , , , , , , , , , ,2,2,2,1,2,2,1,1,1,1,1,1, , ,3,3,3,3,2, ,2,5,4,7,2,2,2, ,2, ,4,2,51,5,1, ,1,1,7,3,2,4,1,2,2,2,1, , ,1, ,1
