caseid,weight,sample,lang,cregion,form,q1,q2,q3,q4a,q4b,q4c,q4d,q4e,q4f,q4g,q4h,q5,q6a,q6b,q6c,q6d,q6ef13,q6ff13,q6gf13,q6hf24,q6if24,q6jf24,q7a,q7b,q7c,q7e,q8,q9,q10,q14,q18a,q18bf13,q18cf24,q18d,q18ef13,q18ff24,q18g,q18h,q21a,q21b,q21c,q21e,q22c,q22d,q25,q26,q27,q28,q29a,q29b,q29c,q29d,q30,q31,q32,q33,q34,q35,q36,q37,q38,q39,q42,q43,q45,q46,q47b,q47c,q47d,q47e,q47f,q47h,q54,q55,q56,q57,q58a,q58b,q58c,q58d,relig,chr,born,attend,rq5,rq6,rq7,rq9a,rq9bf13,rq9cf24,rq9df13,rq9ef24,rq10,sex,agerec,educ2,racethn,birth_hisp,usborn,marital,income,party,partyln,ideo,employ,hlthwork,hh1rec,hh3rec,fertrec,ql1,ql1a,qc1,lc2,lc3
100002,.27,1,1,1,4,1,1,1,2,3,1,1,2,7,2,1,2,1,1,3,2, , , ,2,3,1,1,1,1,2,2,3,2,92,1, ,1,1, ,1,1,1,3,3,3,2,2,2, , , , , , , , , , , , , , , , , , ,2,2,1,1,1,2,1,1,1,1, , ,1,1,1,1,1,1,10, , ,6,4,7,2,2, ,2, ,2,3,1,35,6,1, ,1,6,8,2, ,5,3, ,1, ,0,1, , ,1, 
100004,.29,1,1,2,3,2,1,2,4,4,3,1,3,1,1,2,2,1,1,9,2,4,3,1, , , ,2,1,3,1,1,2,4,200,1,1, ,1,2, ,1,1,2,1,2,3,1,1, , , , , , , , , , , , , , , , , , ,1,1,9,1,2,1,2,2,9,1,1,1, , ,3,3,3,3,12,2, ,6,3,7,2,2,2, ,2, ,1,1,77,4,1, ,1,5,1,3,9,2,2,2,2,2,3,1, , , ,3
100011,.59,1,1,3,2,1,2,2,2,7,2,2,2,7,1, ,2,2,2,2,2, , , ,1,2,1,2,2,2,3,2,3,9,998,3, ,2,2, ,2,2,3,3,3,2,3,2,3,2,9,2,1,2,2,2,2,1,3,2,3,1,1,1,1,3,2, , , , , , , , , , , , ,2, ,3,2,3,9,13, ,2,4,1,3,1,1, ,1, ,1,2,2,60,8,1, ,1,1,10,1, ,3,3, ,2,2,0,1, , , ,3
100015,.84,1,1,3,2,1,3,2,3,3,3,1,4,1,3, ,2,1,3,2,3, , , ,1,3,2,1,1,1,3,2,4,2,70,3, ,2,1, ,1,1,2,2,2,1,2,2,2,1,2,2,2,1,1,1,2,1,1,1,1,1,1,2,1,3,1, , , , , , , , , , , , ,1,1,1,1,3,3,1, ,1,5,1,1,1,1, ,1, ,1,3,2,57,6,1, ,1,1,6,3,2,3,3, ,3,2,2,2,1, , ,2
100016,.5,1,1,3,1,1,1,3,2,1,2,1,1,1,1, ,1,1,1,1,1,1,1,1, , , ,2,2,2,1,1,1,3,80,1,1, ,1,1, ,1,1,3,3,3,2,2,1,2,2,2,2,2,2,2,2,1,2,2,2,1,1,1,1,2,2, , , , , , , , , , ,1,2, , ,2,2,1,3,1, ,2,2,1,1,1,1,1, ,1, ,2,1,50,8,1, ,1,1,7,1, ,2,1,2,3,2,1,1, , , ,2
100026,1.25,1,1,2,3,1,2,2,3,7,1,1,2,2,7,3,2,3,2,1,9,3,9,9, , , ,9,9,1,1,1,2,3,90,2,2, ,2,1, ,2,2,2,3,1,2,2,1, , , , , , , , , , , , , , , , , , ,2,1,1,1,1,2,2,1,2,1,9, , , ,2,9,1,1,1, ,2,2,1,2,1,1,1, ,1, ,2,2,80,3,1, ,1,5,3,1, ,2,3, ,1, ,6,2, , , , 
100036,.81,1,2,1,2,2,2,1,3,4,2,3,3,2,2, ,2,9,9,9,2, , , ,9,9,3,3,2,3,3,1,2,2,80,2, ,3,2, ,2,3,3,2,3,2,2,2,1,1,2,2,1,9,9,9,9,9,1,1,1,2,2,2,2, , , , , , , , , , , , , , ,9, ,3,3,3,4,2, ,1,2,2,6,1,9, ,1, ,9,9,2,99,1,3,3, ,2,10,9,9,4,3, ,4,2,3,2,2, , , 
100037,.26,1,1,3,1,2,3,2,4,7,4,4,3,4,3, ,2,1,9,1,1,2,2,1, , , ,2,2,1,2,2,2,4,998,2,1, ,2,2, ,2,2,3,3,2,2,2,1,2,2,2,2,2,2,2,2,1,1,1,1,2,1,1,1,3,1, , , , , , , , , , ,1,1, , ,2,3,9,2,1, ,1,4,2,2,1,1,1, ,9, ,3,2,63,4,1, ,1,5,2,2, ,2,3, ,1, ,4,1, , ,2, 
100047,.38,1,1,1,1,2,3,3,4,3,3,3,3,1,9, ,2,3,3,2,1,2,2,1, , , ,3,3,3,3,1,3,3,90,2,2, ,1,2, ,2,1,3,3,3,2,1,2,2,2,1,1,1,1,1,1,1,9,1,1,1,2,2,1,2,1, , , , , , , , , , ,9, , , ,3,3,2,2,12,1,2,4,1,6,1,1,1, ,9, ,2,1,75,2,2, ,1,5,10,2, ,2,3, ,9,9,5,1, , , ,2
100053,.64,1,2,3,4,2,9,2,4,7,2,3,3,2,4,1,2,9,9,3,2, , , ,3,9,9,9,3,1,9,1,3,4,998,2, ,1,2, ,1,4,2,3,3,3,2,2,3, , , , , , , , , , , , , , , , , , ,2,2,9,9,2,9,2,2,2,9, , ,1,2,2,1,2,3,2, ,1,5,3,2,1,9, ,9, ,2,9,2,79,1,3,3, ,1,10,1, ,2,3, ,2,2,2,1, , , ,2
100055,.3,1,1,3,1,1,1,3,2,2,2,1,2,2,2, ,2,2,2,2,2,2,2,1, , , ,3,3,3,1,2,3,1,100,1,1, ,1,1, ,1,1,3,2,2,2,1,1,1,2,2,1,2,2,2,2,1,1,1,1,4,2,2,2, , , , , , , , , , , , ,1,1, , ,2,3,3,3,1, ,1,1,1,1,1,1,1, ,1, ,3,2,38,3,2, ,1,6,4,2, ,2,3, ,3,2,3,1, , , ,1
100059,.7,1,1,1,3,1,1,3,2,2,2,7,1,1,7,3,1,2,2,2,2,1,1,4, , , ,3,3,3,3,2,3,4,90,1,1, ,1,1, ,1,1,3,9,2,1,2,3, , , , , , , , , , , , , , , , , , ,2,2,2,2,9,2,2,1,1,2,1,1, , ,3,3,3,3,10, , ,6,4,7,2,2,2, ,2, ,3,2,58,8,1, ,1,3,8,2, ,4,1,2,4,2,3,1, , , ,2
100060,1.64,1,2,4,4,1,1,2,3,2,2,2,1,1,3,1,2,2,1,2,1, , , ,2,1,1,3,1,1,2,1,1,1,80,1, ,1,3, ,9,2,2,3,2,2,2,2,1, , , , , , , , , , , , , , , , , , ,2,2,1,1,2,1,2,1,1,1, , ,1,1,2,2,1,2,13, ,1,1,1,1,1,1, ,2, ,1,2,2,25,3,3,3, ,2,1,3,2,3,2,2,3,2,1,1, , , ,1
100072,1.27,1,1,4,1,1,3,1,2,1,1,1,1,1,2, ,1,1,1,1,1,2,1,1, , , ,9,9,2,1,2,2,1,80,2,2, ,2,2, ,2,2,4,3,3,4,2,2,2,1,1,1,1,1,1,1,1,2,2,2,1,2,1,1,3,1, , , , , , , , , , ,2, , , ,4,3,3,1,2, ,1,1,1,1,1,1,1, ,1, ,2,2,66,4,1, ,1,1,10,2, ,3,2,2,2,2,3,1, , , ,2
100073,.51,1,1,3,4,2,1,1,1,2,1,1,1,1,7,4,1,1,1,9,1, , , ,2,2,1,2,2,2,1,1,1,4,998,2, ,2,1, ,3,2,1,2,4,1,1,1,1, , , , , , , , , , , , , , , , , , ,3,1,1,1,1,1,2,1,1,1, , ,2, ,2,9,3,9,2, ,1,3,1,1,1,1, ,1, ,1,1,2,99,2,3,1, ,5,10,3,9,2,1,2,2,2,6,1, , , ,1
100077,.57,1,1,4,2,2,1,2,3,2,2,1,2,1,4, ,2,2,1,9,1, , , ,3,2,1,2,1,1,3,1,2,2,90,1, ,2,1, ,3,1,1,2,3,2,1,2,1,2,2,2,1,1,2,2,2,1,2,2,2,3,2,2,2, , , , , , , , , , , , , , ,1,2,2,3,2,1,13, ,1,1,1,2,1,2, ,1, ,1,2,2,35,4,1, ,1,4,4,2, ,3,1,2,3,2,0,1, , , ,1
100080,.85,1,1,3,1,2,1,3,4,3,2,2,1,3,1, ,2,1,1,3,1,1,2,1, , , ,3,1,9,1,2,3,2,998,1,1, ,1,1, ,1,1,3,2,2,2,2,2,1,9,2,2,1,9,2,2,1,1,1,1,4,2,1,1,9,1, , , , , , , , , , ,9, , , ,1,9,9,2,12,1,2,6,1,1,1,1,1, ,1, ,2,1,42,1,2, ,1,1,4,2, ,2,2,2,3,3,3,1, , , ,1
100081,2.35,1,1,4,4,1,9,3,9,3,2,2,3,2,2,2,2,3,1,3,1, , , ,3,3,3,3,1,3,3,3,4,2,150,4, ,1,2, ,3,2,2,4,2,2,1,2,1, , , , , , , , , , , , , , , , , , ,3,1,1,1,2,2,1,2,1,1, , ,1,1,3,3,3,3,12,1,2,6,3,6,1,1, ,1, ,1,3,1,53,2,9, ,1,1,10,3,2,9,2,2,2,2,2,1, , , ,3
100084,.17,1,1,3,4,1,2,3,1,7,1,1,1,1,1,1,2,1,1,1,1, , , ,3,1,1,2,2,2,2,1,1,4,85,1, ,2,2, ,2,1,2,3,3,2,3,2,2, , , , , , , , , , , , , , , , , , ,2,2,2,2,1,2,2,1,1,2, , ,2, ,2,3,1,2,2, ,2,2,1,1,1,1, ,1, ,1,4,1,71,8,1, ,1,1,10,3,1,3,3, ,2,2,3,1, , , ,3
100085,.24,1,1,4,3,1,2,1,2,7,1,1,3,1,1,3,2,1,1,1,1,3,3,1, , , ,2,3,3,3,1,1,4,75,1,1, ,1,1, ,1,1,3,2,2,1,1,1, , , , , , , , , , , , , , , , , , ,3,1,2,1,1,2,1,2,1,1,2, , , ,2,2,1,2,2, ,1,2,1,1,1,1,1, ,1, ,4,2,62,4,3,1, ,1,7,1, ,2,3, ,2,2,4,1, , , ,2
100091,.87,1,2,1,4,1,1,1,2,3,1,2,2,7,2,2,1,1,1,2,1, , , ,1,1,1,2,1,2,3,2,1,2,80,2, ,2,2, ,1,2,2,2,3,3,2,2,1, , , , , , , , , , , , , , , , , , ,2,1,1,1,1,2,2,1,2,1, , ,1,1,2,1,1,2,2, ,1,3,1,3,1,1, ,1, ,1,3,1,18,3,3,3, ,6,3,1, ,4,3, ,6,4,0,1, , , ,2
100094,.75,1,1,2,3,1,1,1,1,1,1,2,2,2,1,4,2,1,1,3,1,2,2,1, , , ,2,3,2,3,1,1,2,80,1,1, ,1,3, ,1,3,4,3,2,3,1,2, , , , , , , , , , , , , , , , , , ,2,1,1,1,1,1,1,1,1,1,1,2, , ,2,1,3,3,1, ,1,2,1,3,1,2,2, ,1, ,1,1,44,6,1, ,1,1,9,1, ,2,1,2,3,1,2,1, , , ,1
100102,.43,1,1,1,4,1,3,1,3,9,2,7,3,1,3,2,2,1,1,3,1, , , ,3,3,1,3,3,3,1,1,2,1,85,1, ,2,1, ,1,1,1,4,3,3,2,2,2, , , , , , , , , , , , , , , , , , ,2,2,1,1,1,1,2,2,2,2, , ,2, ,2,3,3,1,2, ,2,2,1,3,1,1, ,1, ,1,3,2,70,2,1, ,2,1,4,3,9,1,3, ,2,2,2,1, , , ,3
100103,.84,1,1,4,3,1,1,2,3,7,1,1,2,1,7,4,2,1,1,1,1,3,1,1, , , ,9,3,2,1,1,2,4,80,1,2, ,1,2, ,2,2,3,1,1,3,2,1, , , , , , , , , , , , , , , , , , ,3,1,2,1,1,1,1,2,1,1,2, , , ,2,3,3,3,2, ,2,2,1,1,1,1,1, ,1, ,9,1,75,4,1, ,1,5,4,2, ,3,3, ,1, ,4,1, , ,3, 
100108,.78,1,1,3,2,1,1,1,4,7,1,1,3,1,1, ,1,1,1,1,1, , , ,3,3,1,3,1,2,1,2,3,1,100,1, ,1,9, ,1,1,1,2,4,2,2,1,1,2,2,1,9,2,2,9,9,1,1,1,9,1,1,1,1,3,1, , , , , , , , , , , , ,2, ,2,3,3,3,1, ,1,4,1,1,1,1, ,1, ,1,1,2,54,5,2, ,1,1,2,2, ,9,3, ,2,2,2,1, , , ,1
100110,1.19,1,1,3,2,2,3,2,3,3,3,3,4,2,7, ,2,2,2,2,2, , , ,2,2,2,2,3,3,3,2,2,4,87,1, ,1,1, ,3,2,9,2,3,3,3,1,1,2,2,3,2,1,1,1,2,1,1,1,1,3,2,2,1,2,2, , , , , , , , , , , , ,2, ,2,9,2,1,1, ,2,5,1,2,1,1, ,1, ,1,1,2,68,3,1, ,1,5,1,2, ,2,3, ,1, ,4,2, , , , 
100112,3.02,1,1,1,3,1,3,3,3,7,2,2,3,1,3,1,2,1,2,1,1,3,2,1, , , ,3,3,2,3,1,2,1,100,1,1, ,1,2, ,1,2,3,2,2,2,1,1, , , , , , , , , , , , , , , , , , ,2,1,1,1,2,1,2,2,1,1,1,1, , ,2,1,1,3,1, ,2,3,2,3,1,1,1, ,1, ,2,2,58,3,1, ,1,2,4,1, ,2,3, ,2,2,2,1, , , ,2
100114,4.78,1,1,4,2,1,9,2,3,7,3,3,3,3,3, ,2,9,9,9,2, , , ,9,4,1,2,3,3,3,1,2,2,80,2, ,2,2, ,3,3,3,4,4,2,2,2,9,2,1,9,2,2,1,9,9,1,3,1,9,1,2,1,2, , , , , , , , , , , , , , ,9, ,2,9,9,9,12,2, ,6,2,3,1,1, ,1, ,1,9,2,56,2,1, ,1,1,10,9,9,3,3, ,2,2,2,2,2, , , 
100118,.26,1,1,2,4,9,2,3,9,9,2,2,2,2,2,3,2,1,1,1,2, , , ,3,2,1,2,1,2,3,1,2,2,998,1, ,2,3, ,1,3,1,3,3,2,2,1,1, , , , , , , , , , , , , , , , , , ,3,9,2,2,1,1,9,9,1,9, , ,9, ,2,2,3,3,9, , ,9,1,2,1,1, ,1, ,1,3,2,70,6,1, ,1,1,10,3,1,2,3, ,2,2,4,1, , , ,3
100122,.32,1,1,3,2,1,3,1,2,1,1,2,1,1,1, ,1,3,2,2,2, , , ,3,3,3,1,3,1,1,2,1,2,65,2, ,2,2, ,2,2,2,3,2,2,2,1,2,1,2,1,2,1,1,1,1,1,1,1,1,3,1,1,1,1,2, , , , , , , , , , , , ,1,1,3,1,1,1,2, ,2,4,2,5,1,1, ,2, ,1,2,1,43,3,3,3, ,1,6,4,9,3,1,2,2,2,4,1, , , ,1
100123,1.94,1,1,3,4,1,1,2,2,3,2,2,1,1,7,1,2,9,2,3,3, , , ,4,4,2,2,2,2,1,2,3,1,95,2, ,2,1, ,2,2,2,3,1,1,1,2,1, , , , , , , , , , , , , , , , , , ,2,2,2,9,1,2,1,1,1,1, , ,2, ,2,1,2,9,1, ,2,2,2,3,1,9, ,1, ,1,1,2,50,3,1, ,1,3,10,2, ,2,1,1,1, ,1,1, , ,1, 
100124,1.8,1,1,4,1,2,3,2,3,7,3,3,4,2,2, ,2,1,1,1,1,1,1,1, , , ,3,3,3,3,3,9,2,75,3,2, ,2,3, ,2,2,1,2,2,2,2,9,2,1,9,9,1,1,1,1,1,9,9,2,2,2,2,1,3,1, , , , , , , , , , ,9, , , ,4,9,3,1,1, ,9,3,2,1,1,1,1, ,9, ,9,1,60,2,1, ,1,5,10,9,9,3,3, ,2,2,4,1, , , ,1
100144,2.33,1,1,2,4,2,1,2,4,2,2,2,3,2,2,1,2,1,2,4,2, , , ,1,1,1,2,2,2,3,2,1,3,75,2, ,3,3, ,3,3,3,3,3,2,2,2,2, , , , , , , , , , , , , , , , , , ,3,2,2,2,1,2,1,1,1,1, , ,2, ,3,1,3,3,13, ,2,5,1,5,1,2, ,1, ,2,2,2,55,3,1, ,1,1,4,3,1,2,1,2,2,2,2,1, , , ,2
100149,.89,1,1,3,2,1,1,1,1,1,1,1,1,7,1, ,1,1,1,1,1, , , ,2,1,1,3,3,2,1,1,2,4,998,1, ,3,1, ,2,2,3,4,2,2,2,2,1,1,2,1,2,2,1,2,2,1,1,1,1,3,2,1,1,3,2, , , , , , , , , , , , ,2, ,3,3,3,9,1, ,1,2,1,4,1,9, ,1, ,1,2,1,43,3,1, ,1,3,3,3,2,2,1,2,1, ,0,1, , ,2, 
100151,.49,1,1,3,2,2,3,3,2,3,3,3,3,3,3, ,2,2,2,2,1, , , ,3,2,1,3,2,2,3,2,3,1,998,2, ,3,2, ,3,3,3,3,2,3,2,2,1,2,1,3,1,1,1,1,1,1,2,2,2,1,1,1,1,3,1, , , , , , , , , , , , ,1,2,4,1,1,1,1, ,1,5,2,5,1,1, ,1, ,1,2,1,64,6,1, ,1,1,10,3,9,1,3, ,2,2,2,1, , , ,1
100154,.57,1,2,4,4,1,1,3,3,7,2,2,2,2,2,2,2,3,9,9,3, , , ,3,9,1,3,9,3,3,2,3,2,75,2, ,1,2, ,2,2,2,3,9,2,2,2,1, , , , , , , , , , , , , , , , , , ,3,9,2,1,1,2,1,1,2,1, , ,1,1,9,3,9,3,2, ,2,4,2,6,1,1, ,1, ,1,3,2,32,3,3,3, ,1,3,3,2,3,2,2,4,2,2,1, , , ,2
100164,.72,1,1,1,3,1,9,3,2,7,1,2,2,1,7,3,2,1,1,1,1,3,1,1, , , ,2,2,2,2,1,1,3,80,1,2, ,2,2, ,2,2,3,3,2,2,2,2, , , , , , , , , , , , , , , , , , ,3,2,2,2,1,2,2,1,2,2,1,9, , ,4,9,1,3,2, ,2,3,1,2,1,1,1, ,1, ,1,2,90,8,1, ,1,5,6,3,1,3,3, ,1, ,2,1, , ,3, 
100166,.55,1,2,4,1,2,3,2,4,7,2,2,4,2,7, ,2,9,9,9,4,2,9,1, , , ,3,2,3,1,9,2,1,75,2,2, ,4,2, ,2,2,2,2,9,3,2,1,1,2,3,2,2,2,2,2,2,1,1,1,1,1,1,2, , , , , , , , , , , , ,2, , , ,2,3,3,3,2, ,1,4,1,2,1,9,2, ,2, ,4,2,65,9,3,3, ,1,1,3,2,1,3, ,3,2,6,1, , , ,3
100179,.26,1,1,4,1,2,3,3,3,7,1,3,3,4,7, ,2,2,2,2,1,2,2,1, , , ,2,3,2,3,1,2,2,85,1,2, ,2,2, ,2,3,2,3,2,2,1,1,2,1,1,1,1,1,2,1,1,2,2,2,2,2,1,1,2,2, , , , , , , , , , ,1,9, , ,1,9,3,3,1, ,1,5,2,3,1,1,1, ,1, ,3,2,74,3,1, ,1,5,3,1, ,9,3, ,1, ,3,2, , , , 
100180,.31,1,1,2,2,2,1,2,4,7,2,2,2,7,1, ,1,1,1,2,1, , , ,4,1,1,3,1,3,1,2,2,1,80,1, ,2,2, ,3,2,1,2,2,1,2,1,1,2,2,2,2,2,2,2,2,1,1,1,1,1,1,2,1,2,2, , , , , , , , , , , , ,1,2,2,9,9,9,13, ,1,3,1,1,1,1, ,1, ,1,3,1,18,2,2, ,1,6,10,2, ,3,3, ,4,1,0,1, , , ,1
100182,1.84,1,1,4,3,1,1,1,1,2,2,1,1,7,1,2,2,1,1,4,2,2,2,2, , , ,3,3,1,3,2,3,2,998,1,1, ,1,3, ,1,2,4,2,2,2,2,2, , , , , , , , , , , , , , , , , , ,2,2,9,9,1,2,1,1,1,2,1,1, , ,1,1,1,1,10, , ,6,4,7,2,2,2, ,2, ,4,1,41,8,1, ,1,1,10,3,2,5,2,2,2,2,0,1, , , ,2
100195,.34,1,1,2,4,1,1,1,3,3,2,2,1,2,2,3,1,1,1,1,1, , , ,2,2,1,1,1,2,3,1,2,3,102,2, ,3,2, ,2,2,1,3,2,3,3,2,1, , , , , , , , , , , , , , , , , , ,2,2,2,1,2,1,1,1,1,1, , ,1,2,1,1,1,1,1, ,2,2,1,1,1,1, ,1, ,2,4,2,48,8,1, ,1,1,6,2, ,5,2,2,3,2,1,1, , , ,2
100199,.48,1,1,4,4,1,3,1,2,2,2,7,2,1,1,2,1,1,1,2,1, , , ,2,2,1,1,1,1,1,1,1,3,900,2, ,3,1, ,2,2,1,3,2,1,3,1,1, , , , , , , , , , , , , , , , , , ,1,1,1,1,2,1,1,1,2,1, , ,1,1,1,1,1,1,9, , ,6,4,7,2,2, ,2, ,2,4,1,36,6,1, ,1,1,8,3,2,5,1,2,3,2,1,1, , , ,2
100207,.37,1,1,3,1,1,3,3,2,7,1,2,2,2,1, ,2,2,2,1,1,2,1,1, , , ,3,3,1,1,1,2,2,90,2,2, ,2,2, ,1,2,3,3,3,1,2,2,1,2,2,2,1,1,1,1,1,2,1,1,2,1,2,9, , , , , , , , , , , , ,2, , , ,2,1,1,1,13, ,1,4,1,2,1,2,1, ,1, ,3,1,76,6,1, ,1,1,10,3,9,3,3, ,3,3,5,1, , , ,2
100211,.53,1,1,3,3,1,3,2,2,2,1,1,2,1,1,3,2,1,2,1,1,4,3,1, , , ,2,2,2,3,1,1,3,90,2,1, ,1,1, ,1,1,3,3,2,2,2,1, , , , , , , , , , , , , , , , , , ,3,1,2,1,1,1,1,1,1,1,2, , , ,3,3,2,2,1, ,1,1,1,1,1,1,1, ,1, ,1,1,68,5,1, ,1,1,7,2, ,3,3, ,2,2,1,1, , , ,1
100212,.92,1,1,3,1,1,3,1,2,1,2,2,2,2,1, ,2,1,1,3,2,1,1,1, , , ,3,1,3,3,2,2,4,80,1,2, ,1,3, ,1,1,3,2,2,2,2,2,2,1,2,1,1,1,9,1,1,2,2,2,1,1,1,2, , , , , , , , , , , , ,1,9, , ,4,3,3,3,12,2, ,5,4,6,1,2,2, ,2, ,3,2,63,8,1, ,1,1,7,1, ,3,2,2,2,2,2,1, , , ,2
100215,2.05,1,1,3,4,1,9,1,7,2,1,1,2,7,7,4,2,2,2,1,2, , , ,3,2,1,2,3,2,1,2,3,4,998,3, ,3,2, ,3,3,2,4,4,4,4,1,1, , , , , , , , , , , , , , , , , , ,3,9,2,1,1,2,1,2,1,1, , ,2, ,2,2,9,9,1, ,1,1,1,1,1,1, ,1, ,1,2,1,51,3,1, ,1,6,1,1, ,2,2,2,2,2,0,1, , , ,3
100221,.26,1,1,4,3,1,3,2,3,7,2,2,1,1,7,4,2,1,2,3,2,3,2,1, , , ,9,3,3,3,2,3,1,85,1,1, ,1,2, ,1,1,4,4,2,1,2,2, , , , , , , , , , , , , , , , , , ,2,2,2,2,2,1,1,2,2,1,1,2, , ,4,2,2,9,1, ,2,4,2,1,1,2,1, ,2, ,2,1,76,3,1, ,1,3,4,1, ,2,3, ,1, ,2,1, , ,3, 
100228,.71,1,1,3,2,1,2,3,1,1,9,2,3,2,7, ,2,4,1,3,1, , , ,4,2,1,2,2,1,3,1,1,4,998,2, ,2,2, ,3,2,2,3,3,2,2,2,2,2,2,3,9,1,1,1,1,1,2,2,2,1,2,2,2, , , , , , , , , , , , , , ,1,1,2,2,2,2,1, ,1,4,1,3,1,2, ,1, ,2,4,2,90,3,1, ,1,3,5,1, ,3,3, ,3,3,6,2,1, , ,1
100232,.27,1,1,3,2,1,1,3,3,1,1,1,2,2,2, ,1,2,2,1,2, , , ,2,2,1,3,3,3,1,1,2,3,100,1, ,1,1, ,3,1,1,3,3,3,3,1,2,1,2,2,2,2,2,2,2,2,1,1,1,2,2,1,1,3,2, , , , , , , , , , , , ,2, ,2,3,3,3,1, ,1,1,1,1,1,1, ,1, ,1,1,2,70,8,2, ,1,1,4,2, ,4,3, ,2,2,1,2,2, , , 
100233,2.85,1,1,4,3,1,3,1,3,3,2,2,2,7,7,4,2,1,1,1,1,1,2,1, , , ,3,3,2,1,1,1,1,100,1,1, ,1,2, ,1,1,3,2,2,2,2,1, , , , , , , , , , , , , , , , , , ,3,1,1,1,2,2,2,2,2,1,1,2, , ,2,1,1,1,1, ,1,5,1,1,1,1,2, ,1, ,3,1,64,3,1, ,1,6,3,2, ,9,3, ,1, ,0,2, , , , 
100237,.39,1,1,3,4,9,1,1,2,2,3,2,2,3,2,3,2,9,9,1,1, , , ,2,2,1,2,3,2,9,1,1,3,90,1, ,1,1, ,2,2,1,3,3,3,2,1,1, , , , , , , , , , , , , , , , , , ,3,2,2,9,1,9,2,1,9,1, , ,1,9,2,2,2,4,1, ,1,3,1,1,1,2, ,1, ,1,3,2,63,2,1, ,1,1,10,9,9,2,2,2,3,1,1,1, , , ,1
100238,.74,1,1,4,2,2,3,2,3,7,3,3,2,2,7, ,2,1,1,3,2, , , ,2,2,1,3,1,1,1,2,2,9,100,2, ,1,2, ,3,2,3,2,3,2,2,2,1,2,1,9,1,1,1,2,1,1,2,2,2,1,1,1,1,2,1, , , , , , , , , , , , ,1,9,4,3,3,1,12,1,2,4,2,2,1,1, ,1, ,1,3,2,86,4,1, ,1,5,5,2, ,3,9, ,1, ,1,2, , , , 
100243,.2,1,1,3,1,1,1,1,1,7,2,1,3,1,1, ,2,1,1,1,1,4,3,1, , , ,2,3,3,3,1,1,4,80,1,2, ,1,2, ,2,1,3,2,3,2,2,2,2,2,3,2,2,2,2,2,2,1,1,1,1,1,1,2, , , , , , , , , , , , ,2, , , ,2,2,1,1,1, ,1,1,1,1,1,2,1, ,1, ,3,2,99,6,4, ,2,1,9,1, ,2,3, ,2,2,3,1, , , ,2
100245,.29,1,1,4,3,1,1,2,4,2,2,2,2,2,2,3,2,2,2,1,1,4,2,1, , , ,3,3,2,3,2,3,2,80,1,1, ,1,1, ,1,1,2,4,2,4,1,1, , , , , , , , , , , , , , , , , , ,2,1,2,2,2,1,2,2,1,1,1,2, , ,2,3,3,1,3, ,2,3,1,1,1,1,1, ,2, ,1,1,45,4,1, ,1,1,6,1, ,2,1,2,4,2,3,1, , , ,2
100259,.23,1,1,4,3,1,1,1,3,2,3,2,3,2,2,4,2,1,1,1,1,1,4,1, , , ,2,1,1,1,2,4,3,70,1,1, ,1,1, ,1,1,4,1,1,1,2,2, , , , , , , , , , , , , , , , , , ,2,2,2,1,2,1,1,2,1,1,2, , , ,2,3,3,3,12,1,1,1,1,2,1,1,1, ,1, ,3,1,99,4,9, ,9,4,4,2, ,2,1,2,9,9,0,1, , , ,1
100260,.39,1,1,2,2,2,2,2,3,3,1,2,2,1,1, ,2,1,1,1,1, , , ,2,2,2,3,3,2,1,1,2,2,90,1, ,3,1, ,1,1,1,3,2,2,2,1,1,2,2,1,2,2,2,2,2,2,2,1,1,2,1,1,2, , , , , , , , , , , , , , ,1,2,2,3,1,1,1, ,1,2,1,3,1,1, ,1, ,1,3,2,65,4,1, ,1,1,10,1, ,2,3, ,2,2,3,1, , , ,3
100268,1.14,1,1,4,2,1,1,1,1,1,1,1,1,1,1, ,1,1,1,2,1, , , ,2,2,1,1,1,1,1,1,2,3,100,1, ,3,1, ,1,1,1,2,1,3,1,2,1,2,1,1,1,1,1,1,1,1,2,2,2,2,2,2,2, , , , , , , , , , , , , , ,1,2,1,1,1,1,12,2, ,5,3,6,1,2, ,2, ,2,2,1,52,5,3,1, ,1,7,3,2,4,1,2,3,2,2,1, , , ,1
100270,.46,1,1,4,4,2,3,3,4,7,9,9,3,2,7,4,2,1,9,1,1, , , ,3,3,1,3,1,2,3,1,3,2,70,2, ,2,1, ,2,2,2,3,3,2,3,2,9, , , , , , , , , , , , , , , , , , ,3,2,2,1,1,2,1,1,1,1, , ,9, ,3,3,9,3,2, ,2,6,1,9,1,1, ,1, ,1,2,2,63,6,1, ,1,5,2,4,9,3,3, ,2,2,2,2,2, , , 
100273,.92,1,2,4,2,9,1,2,4,4,1,2,2,3,2, ,2,2,2,2,1, , , ,1,2,3,2,2,2,1,1,2,2,100,2, ,2,2, ,2,3,2,2,2,2,2,2,3,1,2,2,2,2,9,2,9,2,9,9,1,4,2,2,2, , , , , , , , , , , , , , ,2, ,2,1,9,2,1, ,1,1,1,1,1,9, ,1, ,1,9,2,52,3,3,3, ,1,2,1, ,2,2,2,2,2,1,2,2, , , 
